기관명,계약명,계약일,계약금액,계약상대자,키워드
삼평초등학교,"방과후학교 드론,코딩부 수업 물품 구입(마이크로비트 스타터키트 외)",2024-03-07,1533400,아이씨뱅큐,코딩
삼평초등학교,"방과후학교 드론,코딩부 수업 물품(프로펠러 등)",2024-03-07,2874410,11번가,코딩
고헌유치원,2024학년도 유초이음(놀이학습교재 코딩 메타킨더) 구매,2024-03-01,16480000,바른가치,코딩
옥현유치원,유치원 교재교구 구입(코딩카),2024-02-27,2200000,키즈에듀,코딩
범서초등학교,2023. 유치원 코딩 교구 구입,2024-01-04,2640300,바른가치,코딩
두왕초등학교,2023학년도 유치원 교육활동(놀이활동) 물품 구입(코딩놀이),2023-12-20,2760000,위드키즈(주),코딩
고헌유치원,유.초 이음(코딩 및 스피치 수업) 수업료 경비,2023-11-20,1860000,해피키즈,코딩
청솔초등학교,"2023학년도 정보화교육 SW물품 구입비 지급(자율주행 AI 코딩로봇, 코딩용 레이싱 블럭",2023-11-17,2398000,(주)다원에듀넷,코딩
무거초등학교,6학년 학교 맞춤형 사회성회복 지원을 위한 코딩 및 로봇 교육 활동 교구 구입,2023-10-31,19030000,위드키즈(주),코딩
울주명지초등학교,2023. 스마트 교실 지원 소모품 및 코딩자료 구입,2023-10-04,1948210,쿠팡(주),코딩
고헌유치원,(카드) 2023. 코딩블록 구입,2023-09-11,2160000,네이버파이낸셜 주식회사,코딩
염포초등학교,2023. 유치원 만5세 씽고 로봇 구입 및 코딩 체험활동비 지급,2023-09-01,1460000,해피키즈,코딩
문현고등학교,AI데이터리터러시 물품 구입비[엔트리코딩키트가야금],2023-08-24,1155000,(주)다원에듀넷,코딩
삼신초등학교,2023 코딩교육 연계 로봇교구 및 교육기자재 구입 계약,2023-06-19,5400000,현대교재사,코딩
울산중학교,2023학년도 메이커교실 프로그램(신나라 코딩반) 운영을 위한 물품 구입,2023-06-02,1200000,바이비즈(BY BIZ),코딩
농서초등학교,초등돌봄교실 교구[코딩익스프레스] 구입,2023-03-23,1263600,보육사/다음세대,코딩
울산경의고등학교,[AI융합교육중심고]23학년도 AI융합교육중심고 교구 아두이노 코딩 교육용 메탈 라인트레이,2023-03-21,2689500,아이씨뱅큐(주),코딩
고헌유치원,(카드) 2022학년도 유치원 돌봄 운영 물품 구입(코딩블록 3종),2023-02-14,3516000,네이버파이낸셜 주식회사,코딩
남산초등학교,2022 참 좋은 놀이터 코딩 및 ESD 교육 콘텐츠 플레이엑션 키키 구입,2022-12-15,11000000,주식회사 다즐에듀,코딩
동천초등학교,유치원 11월 학습준비물(코딩로봇 등 5종) 구입,2022-11-10,1008770,이케이(키드키즈몰),코딩
중남초등학교,2022년 과학실 환경 개선 사업(현장밀착형-AI 교육용 로봇코딩 키트 ) 물품 구입(학교,2022-11-04,4950000,(주) 와이즈교육,코딩
청량중학교,메이커 활동을 위한 실습재료(코딩로봇) 구입비 지급,2022-10-26,2970000,디지시스 주식회사,코딩
방어진초등학교,2022학년도 6학년 선택과목 운영 코딩교육 교구 구입비 및 강사비 지급,2022-10-24,3090000,로보트론 울산지사,코딩
남산초등학교,2022학년도 실과 로봇 코딩 교구 구입 건의(6학년),2022-10-18,2673000,아이들의 세상(ulsan),코딩
농서초등학교,[학교장터] 교육코딩용 햄스터로봇S 스쿨패키지 및 햄스터로봇 집게 세트 구입,2022-09-20,3240000,경기스쿨,코딩
무거초등학교,2022학년도 코딩교육 운영 물품(3D펜 필라멘트)구입,2022-09-08,1260000,영진에듀,코딩
성안중학교,(카드)메이커실 구축에 따른 코딩 및 아두이노 관련 기자재 구입비 지출,2022-08-17,1250000,한국교직원공제회S2B,코딩
